song_name,sung_by
"""The Cringe""",Castleman & the cast
"""Don‰Ûªt Be a Lawyer""",Jim
"""Our Twisted Fate""",the pretzels (Adam Schlesinger)
"""One Indescribable Instant (Reprise)""",Tucker & Rebecca
"""I Want to Be a Child Star""",Tucker
"""The Group Mind Has Decided You're in Love""",the cast
"""I've Always Never Believed In You""",Paula
"""Trapped In a Car With Someone You Don't Want To Be Trapped In a Car With""",the cast
"""Farewell, Fair Mustache""",Darryl
"""How To Clean Up""",Darryl
"""Forget It""",Naomi
"""If You Ever Need A Favor In 50 Years""",Naomi & Elayne Boosler
"""Hello, Nice To Meet You""",Rebecca & Greg
"""What U Missed While U Were PopUlar""",George
"""Hungry Vagina Metaphor""",the Hungry Cat
"""Itchy Vagina Metaphor""",the Itchy Cat
"""Funky Vagina Metaphor""",the Funky Cat
"""Elated Vagina Metaphor""",the Elated Cat
"""Nostalgic Vagina Metaphor""",the Nostalgia Cat and Doggy Dog
"""Sports Analogies""",Nathaniel and Josh
"""Hello, Nice to Meet You (Reprise #1)""",Rebecca and Greg
"""Hello, Nice to Meet You (Reprise #2)""",Rebecca to Hebecca
"""Gratuitous Karaoke Moment""",Nathaniel & Maya
"""I Hate Everything But You""",Greg
"""I'm Not Sad, You're Sad""",Rebecca
"""The Darkness""",Rebecca
"""Anti-Depressants are So Not a Big Deal""","Dr. Akopian, Rebecca, and Ensemble"
"""End of the Movie (reprise)""",Rebecca
"""Real Life Fighting is Awkward""",Adam Schlesinger
"""Let Me Be in Your Show""","Valencia, Tim, and Rebecca"
"""Etta Mae's Lament""",Rebecca
"""The Tick Tock Clock""",the cast
"""I'm the Bride of the Pirate King""",Valencia
"""Apple Man""",Tim
"""Etta Mae's Lament"" (revised)",Nathaniel
"""What'll It Be?"" (reprise)",Greg
"""The Math of Love Quadrangles""","Rebecca, Josh, Nathaniel and Greg"
"""Slow Motion""","Rebecca, Valencia, Heather, and Paula"
"""Slow Motion"" (reprise)","Rebecca, Valencia, Heather, Paula, and Audra"
"""JAP Battle"" (reprise) (rapped by Rebecca and Audra)",Rebecca
"""Love's Not a Game""",White Josh and the Cast
"""There's No Bathroom""","Bernie (""Weird Al"" Yankovic)"
"""Love's Not a Game"" (reprise)",Rebecca
"""Eleven O'Clock"" (a medley of ""Crazy Ex-Girlfriend Theme"", ""I'm Just a Girl in Love"", ""You Do/You Don't Want to be Crazy"", ""A Diagnosis"", ""The Darkness"", ""We'll Never Have Problems Again"", ""I'm a Good Person"", ""West Covina"", ""You Stupid Bitch"", and ""Eleven O'Clock"")",Rebecca
